iter	Passed	Remaining
0	47	4736
1	48	2378
2	49	1589
3	49	1194
4	50	957
5	50	798
6	51	685
7	52	599
8	52	533
9	53	480
10	53	436
11	54	400
12	55	369
13	55	342
14	56	319
15	56	298
16	57	280
17	58	264
18	58	250
19	59	237
20	59	225
21	60	214
22	61	204
23	61	195
24	62	186
25	62	178
26	63	171
27	64	164
28	64	158
29	65	152
30	65	146
31	66	141
32	67	136
33	67	131
34	68	126
35	68	122
36	69	118
37	70	114
38	70	110
39	71	106
40	71	103
41	72	100
42	73	96
43	73	93
44	74	90
45	74	87
46	75	85
47	76	82
48	76	79
49	77	77
50	77	74
51	78	72
52	79	70
53	79	67
54	80	65
55	80	63
56	81	61
57	81	59
58	82	57
59	83	55
60	83	53
61	84	51
62	85	49
63	85	48
64	86	46
65	86	44
66	87	43
67	87	41
68	88	39
69	89	38
70	89	36
71	90	35
72	90	33
73	91	32
74	92	30
75	92	29
76	93	27
77	94	26
78	94	25
79	95	23
80	96	22
81	96	21
82	97	20
83	98	18
84	99	17
85	99	16
86	100	14
87	101	13
88	101	12
89	102	11
90	103	10
91	103	9
92	104	7
93	105	6
94	106	5
95	106	4
96	107	3
97	108	2
98	108	1
99	109	0
